timestamp,store_id,device_id,temperature,humidity,meter_reading,freezer_temp
2026-06-16 22:00:00,S001,DEV-A01,24.2,63.1,,
2026-06-16 22:00:00,S001,DEV-A02,18.1,42.9,,
2026-06-16 22:00:00,S001,FREEZER-A01,,,1211.0,-18.8
2026-06-16 22:00:00,S001,METER-A01,19.8,56.9,1946.7,
2026-06-16 22:30:00,S001,DEV-A01,24.0,46.1,,
2026-06-16 22:30:00,S001,DEV-A02,22.2,45.0,,
2026-06-16 22:30:00,S001,FREEZER-A01,,,1430.5,-21.4
2026-06-16 22:30:00,S001,METER-A01,23.8,46.4,1714.7,
2026-06-16 23:00:00,S001,DEV-A01,21.9,47.5,,
2026-06-16 23:00:00,S001,DEV-A02,21.3,42.9,,
2026-06-16 23:00:00,S001,FREEZER-A01,,,1665.2,-20.8
2026-06-16 23:00:00,S001,METER-A01,20.9,55.5,1300.2,
2026-06-16 23:30:00,S001,DEV-A01,24.7,53.3,,
2026-06-16 23:30:00,S001,DEV-A02,20.0,48.4,,
2026-06-16 23:30:00,S001,FREEZER-A01,,,1493.7,-21.8
2026-06-16 23:30:00,S001,METER-A01,24.7,66.3,1344.2,
2026-06-17 00:00:00,S001,DEV-A01,23.4,58.1,,
2026-06-17 00:00:00,S001,DEV-A02,22.3,49.2,,
2026-06-17 00:00:00,S001,FREEZER-A01,,,1394.6,-17.7
2026-06-17 00:00:00,S001,METER-A01,25.1,46.2,1917.5,
2026-06-17 00:30:00,S001,DEV-A01,24.0,65.3,,
2026-06-17 00:30:00,S001,DEV-A02,18.2,54.7,,
2026-06-17 00:30:00,S001,FREEZER-A01,,,1986.8,-16.5
2026-06-17 00:30:00,S001,METER-A01,18.7,61.7,1713.4,
2026-06-17 01:00:00,S001,DEV-A01,20.6,64.1,,
2026-06-17 01:00:00,S001,DEV-A02,21.1,68.4,,
2026-06-17 01:00:00,S001,FREEZER-A01,,,1864.4,-18.5
2026-06-17 01:00:00,S001,METER-A01,24.7,47.3,1725.1,
2026-06-17 01:30:00,S001,DEV-A01,24.6,46.0,,
2026-06-17 01:30:00,S001,DEV-A02,25.1,65.4,,
2026-06-17 01:30:00,S001,FREEZER-A01,,,1928.6,-19.5
2026-06-17 01:30:00,S001,METER-A01,24.6,62.1,1734.7,
2026-06-17 02:00:00,S001,DEV-A01,22.0,49.7,,
2026-06-17 02:00:00,S001,DEV-A02,25.4,54.2,,
2026-06-17 02:00:00,S001,FREEZER-A01,,,1868.4,-16.4
2026-06-17 02:00:00,S001,METER-A01,21.0,52.6,2076.5,
2026-06-17 02:30:00,S001,DEV-A01,25.6,47.8,,
2026-06-17 02:30:00,S001,DEV-A02,25.9,45.5,,
2026-06-17 02:30:00,S001,FREEZER-A01,,,1793.6,-16.4
2026-06-17 02:30:00,S001,METER-A01,19.3,44.9,1830.4,
2026-06-17 03:00:00,S001,DEV-A01,25.2,46.6,,
2026-06-17 03:00:00,S001,DEV-A02,21.0,53.5,,
2026-06-17 03:00:00,S001,FREEZER-A01,,,1666.0,-17.3
2026-06-17 03:00:00,S001,METER-A01,23.6,63.4,1792.0,
2026-06-17 03:30:00,S001,DEV-A01,21.5,41.3,,
2026-06-17 03:30:00,S001,DEV-A02,21.9,45.1,,
2026-06-17 03:30:00,S001,FREEZER-A01,,,1829.5,-16.5
2026-06-17 03:30:00,S001,METER-A01,23.5,47.2,1756.4,
