timestamp,store_id,device_id,temperature,humidity,meter_reading,freezer_temp
2026-06-15 22:00:00,S003,DEV-C01,20.9,43.6,,
2026-06-15 22:00:00,S003,DEV-C02,24.8,69.3,,
2026-06-15 22:00:00,S003,FREEZER-C01,,,500.0,-21.0
2026-06-15 22:00:00,S003,METER-C01,23.0,63.8,450.0,
2026-06-15 22:30:00,S003,DEV-C01,25.0,54.9,,
2026-06-15 22:30:00,S003,DEV-C02,18.4,56.4,,
2026-06-15 22:30:00,S003,FREEZER-C01,,,1755.1,-17.7
2026-06-15 22:30:00,S003,METER-C01,23.9,46.5,1908.0,
2026-06-15 23:00:00,S003,DEV-C01,22.3,61.3,,
2026-06-15 23:00:00,S003,DEV-C02,22.2,48.7,,
2026-06-15 23:00:00,S003,FREEZER-C01,,,1384.0,-17.1
2026-06-15 23:00:00,S003,METER-C01,25.6,40.9,1744.3,
2026-06-15 23:30:00,S003,DEV-C01,18.0,59.6,,
2026-06-15 23:30:00,S003,DEV-C02,20.9,45.1,,
2026-06-15 23:30:00,S003,FREEZER-C01,,,1170.9,-18.3
2026-06-15 23:30:00,S003,METER-C01,18.6,57.8,1450.8,
2026-06-16 00:00:00,S003,DEV-C01,21.9,60.3,,
2026-06-16 00:00:00,S003,DEV-C02,18.6,48.1,,
2026-06-16 00:00:00,S003,FREEZER-C01,,,1071.9,-19.3
2026-06-16 00:00:00,S003,METER-C01,24.5,52.5,1570.4,
2026-06-16 00:30:00,S003,DEV-C01,21.1,59.1,,
2026-06-16 00:30:00,S003,DEV-C02,21.8,63.1,,
2026-06-16 00:30:00,S003,FREEZER-C01,,,1381.7,-18.8
2026-06-16 00:30:00,S003,METER-C01,24.6,48.8,1096.9,
2026-06-16 01:00:00,S003,DEV-C01,18.4,54.1,,
2026-06-16 01:00:00,S003,DEV-C02,19.8,57.3,,
2026-06-16 01:00:00,S003,FREEZER-C01,,,1898.4,-20.7
2026-06-16 01:00:00,S003,METER-C01,19.5,65.6,1514.1,
2026-06-16 01:30:00,S003,DEV-C01,20.8,65.9,,
2026-06-16 01:30:00,S003,DEV-C02,24.4,55.7,,
2026-06-16 01:30:00,S003,FREEZER-C01,,,1363.8,-21.5
2026-06-16 01:30:00,S003,METER-C01,25.2,41.1,1926.9,
2026-06-16 02:00:00,S003,DEV-C01,25.7,51.0,,
2026-06-16 02:00:00,S003,DEV-C02,20.6,52.4,,
2026-06-16 02:00:00,S003,FREEZER-C01,,,1155.7,-16.4
2026-06-16 02:00:00,S003,METER-C01,24.8,51.0,1470.8,
2026-06-16 02:30:00,S003,DEV-C01,19.1,51.9,,
2026-06-16 02:30:00,S003,DEV-C02,24.9,42.3,,
2026-06-16 02:30:00,S003,FREEZER-C01,,,1335.7,-17.3
2026-06-16 02:30:00,S003,METER-C01,25.6,44.5,1389.3,
2026-06-16 03:00:00,S003,DEV-C01,22.9,58.2,,
2026-06-16 03:00:00,S003,DEV-C02,18.0,66.5,,
2026-06-16 03:00:00,S003,FREEZER-C01,,,1821.7,-16.7
2026-06-16 03:00:00,S003,METER-C01,21.1,58.3,1187.3,
2026-06-16 03:30:00,S003,DEV-C01,20.7,56.9,,
2026-06-16 03:30:00,S003,DEV-C02,25.7,53.3,,
2026-06-16 03:30:00,S003,FREEZER-C01,,,1154.9,-21.0
2026-06-16 03:30:00,S003,METER-C01,25.6,44.0,2114.6,
